ticker,trade_id,side,open_time,open_price,close_time,close_price,close_event,bars_held,pnl_pct
EUR_USD,1,short,2026-03-02 22:00:00+00:00,1.16868,2026-03-02 23:05:00+00:00,1.16936,stop_exit,13,-0.0005818530307697412
EUR_USD,2,short,2026-03-03 00:10:00+00:00,1.16902,2026-03-03 01:15:00+00:00,1.16997,stop_exit,13,-0.0008126464902225017
EUR_USD,3,short,2026-03-03 03:10:00+00:00,1.16909,2026-03-03 05:40:00+00:00,1.16694,take_profit_exit,30,0.001839037199873328
EUR_USD,4,short,2026-03-03 05:45:00+00:00,1.1668,2026-03-03 08:40:00+00:00,1.16238,take_profit_exit,35,0.003788138498457383
EUR_USD,5,short,2026-03-03 08:45:00+00:00,1.16186,2026-03-03 15:05:00+00:00,1.15532,take_profit_exit,76,0.005628905375862803
EUR_USD,6,short,2026-03-03 15:10:00+00:00,1.1549,2026-03-03 15:40:00+00:00,1.15747,stop_exit,6,-0.0022253008918520223
EUR_USD,7,short,2026-03-04 00:10:00+00:00,1.16064,2026-03-04 01:15:00+00:00,1.15854,take_profit_exit,13,0.001809346567411052
EUR_USD,8,short,2026-03-04 01:20:00+00:00,1.15786,2026-03-04 02:10:00+00:00,1.1597,stop_exit,10,-0.001589138583248495
EUR_USD,9,short,2026-03-04 04:50:00+00:00,1.15928,2026-03-04 06:25:00+00:00,1.16058,stop_exit,19,-0.001121385687668175
EUR_USD,10,short,2026-03-04 09:00:00+00:00,1.15966,2026-03-04 09:10:00+00:00,1.1607,stop_exit,2,-0.0008968145835850372
EUR_USD,11,short,2026-03-06 14:00:00+00:00,1.15573,2026-03-06 15:00:00+00:00,1.15858,stop_exit,12,-0.002465973886634387
EUR_USD,12,short,2026-03-09 01:00:00+00:00,1.1512,2026-03-09 05:05:00+00:00,1.15349,stop_exit,49,-0.0019892286309937113
EUR_USD,13,short,2026-03-09 08:35:00+00:00,1.15172,2026-03-09 09:30:00+00:00,1.15674,stop_exit,11,-0.00435869829472435
EUR_USD,14,short,2026-03-11 17:35:00+00:00,1.1567,2026-03-11 19:50:00+00:00,1.15756,stop_exit,27,-0.0007434944237916241
EUR_USD,15,short,2026-03-11 20:25:00+00:00,1.15702,2026-03-11 21:55:00+00:00,1.15739,stop_exit,18,-0.00031978703911761386
EUR_USD,16,short,2026-03-11 22:20:00+00:00,1.1565,2026-03-12 00:05:00+00:00,1.15372,take_profit_exit,21,0.002403804582792879
EUR_USD,17,short,2026-03-12 00:10:00+00:00,1.15342,2026-03-12 00:35:00+00:00,1.15452,stop_exit,5,-0.0009536855612006789
EUR_USD,18,short,2026-03-12 02:20:00+00:00,1.15452,2026-03-12 08:00:00+00:00,1.15542,stop_exit,68,-0.0007795447458682769
EUR_USD,19,short,2026-03-12 12:20:00+00:00,1.15398,2026-03-13 06:55:00+00:00,1.14828,take_profit_exit,223,0.004939427026464993
EUR_USD,20,short,2026-03-13 07:00:00+00:00,1.14791,2026-03-13 19:05:00+00:00,1.14318,take_profit_exit,145,0.004120532097463991
EUR_USD,21,short,2026-03-13 19:10:00+00:00,1.14286,2026-03-16 00:00:00+00:00,1.1441,stop_exit,58,-0.0010849972875066616
EUR_USD,22,short,2026-03-16 05:10:00+00:00,1.14416,2026-03-16 06:00:00+00:00,1.14324,take_profit_exit,10,0.0008040833449867169
EUR_USD,23,short,2026-03-16 06:05:00+00:00,1.14344,2026-03-16 07:35:00+00:00,1.14152,take_profit_exit,18,0.0016791436367451507
EUR_USD,24,short,2026-03-16 07:40:00+00:00,1.14203,2026-03-16 08:05:00+00:00,1.14336,stop_exit,5,-0.0011645928740924294
EUR_USD,25,short,2026-03-18 22:05:00+00:00,1.1461,2026-03-19 00:55:00+00:00,1.14741,stop_exit,34,-0.00114300671843659
EUR_USD,26,short,2026-03-19 04:25:00+00:00,1.14712,2026-03-19 06:15:00+00:00,1.14755,stop_exit,22,-0.00037485180277574415
EUR_USD,27,short,2026-03-19 06:30:00+00:00,1.14647,2026-03-19 09:20:00+00:00,1.1474,stop_exit,34,-0.0008111856393973049
EUR_USD,28,short,2026-03-27 09:05:00+00:00,1.15156,2026-03-27 09:30:00+00:00,1.15254,stop_exit,5,-0.0008510194866093723
EUR_USD,29,short,2026-03-27 09:55:00+00:00,1.15193,2026-03-27 13:20:00+00:00,1.15262,stop_exit,41,-0.0005989947305826693
EUR_USD,30,short,2026-03-27 16:35:00+00:00,1.15156,2026-03-27 16:45:00+00:00,1.15228,stop_exit,2,-0.0006252388064886816
EUR_USD,31,short,2026-03-27 17:10:00+00:00,1.15148,2026-03-30 13:40:00+00:00,1.1469,take_profit_exit,246,0.003977489839163573
EUR_USD,32,short,2026-03-30 13:45:00+00:00,1.14667,2026-03-31 01:25:00+00:00,1.14893,stop_exit,140,-0.0019709245031263034
EUR_USD,33,short,2026-03-31 05:10:00+00:00,1.14632,2026-03-31 06:25:00+00:00,1.14702,stop_exit,15,-0.0006106497313140835
EUR_USD,34,short,2026-03-31 07:15:00+00:00,1.14647,2026-03-31 08:45:00+00:00,1.1474,stop_exit,18,-0.0008111856393973049
EUR_USD,35,short,2026-03-31 09:05:00+00:00,1.14654,2026-03-31 11:25:00+00:00,1.14746,stop_exit,28,-0.0008024142201754625
EUR_USD,36,short,2026-04-03 18:25:00+00:00,1.15194,2026-04-03 20:10:00+00:00,1.15204,stop_exit,21,-8.681007691380138e-05
